0.0333333 1958.05 14.9515
0.1 1983.4 23.246
0.166667 2049.94 42.5609
0.233333 2038.02 35.438
0.3 2062.02 50.4678
0.366667 2022.11 38.6654
0.433333 2077.93 42.644
0.5 2051.22 37.9699
0.566667 2057.52 31.9429
0.633333 2072 26.296
0.7 2042.38 28.4518
0.766667 2056.1 33.3168
0.833333 2093.91 60.0402
0.9 2070.98 38.135
0.966667 2137.13 56.0291
1.03333 2135.81 39.3538
1.1 2092.78 33.7594
1.16667 2056.79 23.3348
1.23333 2130.23 26.1028
1.3 2163.54 39.1167
1.36667 2145.15 39.4084
1.43333 2117.75 29.0178
1.5 2121.48 23.5452
1.56667 2175.64 67.1761
1.63333 2098.29 25.5923
1.7 2132 37.4233
1.76667 2121.1 24.2874
1.83333 2175.31 24.3824
1.9 2203.31 48.9355
1.96667 2167.73 37.584
2.03333 2178.94 15.8139
2.1 2185.13 23.4453
2.16667 2145.71 21.3604
2.23333 2180.49 44.6643
2.3 2150.8 41.8711
2.36667 2202.67 42.7365
2.43333 2158.61 37.9184
2.5 2155.04 47.2061
2.56667 2159.97 28.8728
2.63333 2212.39 33.5417
2.7 2204.64 32.9019
2.76667 2236.6 31.3569
2.83333 2186.19 36.9382
2.9 2199.49 28.0549
2.96667 2165.77 23.5576
3.03333 2201.05 49.9183
3.1 2192.28 23.9085
3.16667 2242.27 56.0631
3.23333 2217.1 26.0343
3.3 2278.02 27.9642
3.36667 2266.01 36.566
3.43333 2255.16 31.6043
3.5 2276.65 45.067
3.56667 2241.6 33.3804
3.63333 2271.31 23.455
3.7 2250.53 25.657
3.76667 2277.44 32.3601
3.83333 2280.06 36.3878
3.9 2333.08 39.1136
3.96667 2315.03 32.1737
4.03333 2319.98 34.7509
4.1 2274.87 19.2181
4.16667 2278.49 25.2349
4.23333 2305.31 45.4835
4.3 2287.18 42.7318
4.36667 2269.48 47.3233
4.43333 2290.81 44.269
4.5 2301.99 52.3839
4.56667 2282.41 43.7574
4.63333 2313.88 52.637
4.7 2294.54 35.3036
4.76667 2312.86 35.2221
4.83333 2316.86 34.0652
4.9 2366.23 56.7382
4.96667 2290.78 33.712
